zfish_id,human_symbol,human_ensg,gene_name
ENSDARG00000021838,RPS23,ENSDARG00000021838,rps23
ENSDARG00000088383,COX5A,ENSDARG00000088383,cox5aa
ENSDARG00000074758,CSDE1,ENSDARG00000074758,csde1
ENSDARG00000079078,HBG2,ENSDARG00000079078,si_ch211-5k11.8
ENSDARG00000079078,HBG1,ENSDARG00000079078,si_ch211-5k11.8
ENSDARG00000079078,HBD,ENSDARG00000079078,si_ch211-5k11.8
ENSDARG00000079078,HBB,ENSDARG00000079078,si_ch211-5k11.8
ENSDARG00000061249,MYOM1,ENSDARG00000061249,myom1a
ENSDARG00000045487,RPS16,ENSDARG00000045487,rps16
ENSDARG00000029500,RPL34,ENSDARG00000029500,rpl34
ENSDARG00000103433,RPL14,ENSDARG00000103433,rpl14
ENSDARG00000057571,PGAM2,ENSDARG00000057571,pgam2
ENSDARG00000039093,GOT1,ENSDARG00000039093,got1
ENSDARG00000089087,HBE1,ENSDARG00000089087,hbba1
ENSDARG00000010160,RPS15A,ENSDARG00000010160,rps15a
ENSDARG00000088030,RPL35A,ENSDARG00000088030,rpl35a
ENSDARG00000028625,JPH2,ENSDARG00000028625,jph2
ENSDARG00000011841,ATP5MG,ENSDARG00000011841,atp5l
ENSDARG00000011841,ATP5MGL,ENSDARG00000011841,atp5l
ENSDARG00000023797,RYR1,ENSDARG00000023797,ryr1b
ENSDARG00000092052,GSTK1,ENSDARG00000092052,gstk4
ENSDARG00000007294,ACO2,ENSDARG00000007294,aco2
ENSDARG00000042245,MYL3,ENSDARG00000042245,myl13
ENSDARG00000003695,VDAC3,ENSDARG00000003695,vdac3
ENSDARG00000016908,POMZP3,ENSDARG00000016908,zp3e
ENSDARG00000016908,ZP3,ENSDARG00000016908,zp3e
ENSDARG00000033928,NDFIP2,ENSDARG00000033928,ndfip2
ENSDARG00000021346,PDHB,ENSDARG00000021346,pdhb
ENSDARG00000038075,CYC1,ENSDARG00000038075,cyc1
ENSDARG00000071403,OAZ1,ENSDARG00000071403,oaz1a
ENSDARG00000018566,FLNC,ENSDARG00000018566,flnca
ENSDARG00000056743,CAVIN4,ENSDARG00000056743,cavin4b
ENSDARG00000015862,RPL5,ENSDARG00000015862,rpl5b
ENSDARG00000016687,ACADVL,ENSDARG00000016687,acadvl
ENSDARG00000019644,LDHB,ENSDARG00000019644,ldhba
ENSDARG00000103846,HSPA5,ENSDARG00000103846,hspa5
ENSDARG00000104537,COX7C,ENSDARG00000104537,cox7c
ENSDARG00000042129,POMZP3,ENSDARG00000042129,zp3a.1
ENSDARG00000042129,ZP3,ENSDARG00000042129,zp3a.1
ENSDARG00000042905,RPL10A,ENSDARG00000042905,rpl10a
ENSDARG00000070437,RPL22,ENSDARG00000070437,rpl22
ENSDARG00000019881,BSG,ENSDARG00000019881,bsg
ENSDARG00000045929,OAZ2,ENSDARG00000045929,oaz2a
ENSDARG00000038068,DDX5,ENSDARG00000038068,ddx5
ENSDARG00000035860,RPS28,ENSDARG00000035860,rps28
ENSDARG00000017772,MDH1,ENSDARG00000017772,mdh1aa
ENSDARG00000099022,FAU,ENSDARG00000099022,faua
ENSDARG00000058693,CAST,ENSDARG00000058693,cast
ENSDARG00000038826,JPH1,ENSDARG00000038826,jph1b
ENSDARG00000042130,POMZP3,ENSDARG00000042130,zp3a.2
ENSDARG00000042130,ZP3,ENSDARG00000042130,zp3a.2
ENSDARG00000016721,SDHA,ENSDARG00000016721,sdha
ENSDARG00000029069,TNNI2,ENSDARG00000029069,tnni2a.4
ENSDARG00000100588,RPL36,ENSDARG00000100588,rpl36
ENSDARG00000005162,TPM3,ENSDARG00000005162,tpm3
ENSDARG00000076241,TXLNB,ENSDARG00000076241,txlnbb
ENSDARG00000040988,TPI1,ENSDARG00000040988,tpi1b
ENSDARG00000039828,POMZP3,ENSDARG00000039828,zp3b
ENSDARG00000039828,ZP3,ENSDARG00000039828,zp3b
ENSDARG00000037746,ACTB,ENSDARG00000037746,actb1
ENSDARG00000037746,ACTG1,ENSDARG00000037746,actb1
ENSDARG00000030408,RPS26,ENSDARG00000030408,rps26l
ENSDARG00000104587,SRL,ENSDARG00000104587,srl
ENSDARG00000097011,HBG2,ENSDARG00000097011,hbaa1
ENSDARG00000097011,HBG1,ENSDARG00000097011,hbaa1
ENSDARG00000097011,HBD,ENSDARG00000097011,hbaa1
ENSDARG00000097011,HBB,ENSDARG00000097011,hbaa1
ENSDARG00000058656,DES,ENSDARG00000058656,desma
ENSDARG00000091348,RTN3,ENSDARG00000091348,rtn3
ENSDARG00000035741,SLC25A11,ENSDARG00000035741,slc25a11
ENSDARG00000069615,CKMT2,ENSDARG00000069615,ckmt2a
ENSDARG00000101199,RBP4,ENSDARG00000101199,rbp4
ENSDARG00000014179,PFKM,ENSDARG00000014179,pfkma
ENSDARG00000027355,SLC25A4,ENSDARG00000027355,slc25a4
ENSDARG00000036438,NDUFV1,ENSDARG00000036438,ndufv1
ENSDARG00000016771,LTF,ENSDARG00000016771,tfa
ENSDARG00000009212,PPIA,ENSDARG00000009212,ppiaa
ENSDARG00000009212,PPIAL4G,ENSDARG00000009212,ppiaa
ENSDARG00000009212,PPIAL4A,ENSDARG00000009212,ppiaa
ENSDARG00000009212,PPIAL4H,ENSDARG00000009212,ppiaa
ENSDARG00000009212,PPIAL4E,ENSDARG00000009212,ppiaa
ENSDARG00000009212,PPIAL4F,ENSDARG00000009212,ppiaa
ENSDARG00000009212,PPIAL4C,ENSDARG00000009212,ppiaa
ENSDARG00000009212,PPIAL4D,ENSDARG00000009212,ppiaa
ENSDARG00000019404,ATP5F1D,ENSDARG00000019404,atp5f1d
ENSDARG00000071113,XIRP2,ENSDARG00000071113,xirp2a
ENSDARG00000024047,TMEM38A,ENSDARG00000024047,tmem38a
ENSDARG00000055723,HSPA2,ENSDARG00000055723,hsp70l
ENSDARG00000103435,SORBS1,ENSDARG00000103435,sorbs1
ENSDARG00000039255,KLHL21,ENSDARG00000039255,klhl21
ENSDARG00000101844,NMRK2,ENSDARG00000101844,mibp2
ENSDARG00000018105,CASQ1,ENSDARG00000018105,casq1b
ENSDARG00000043180,GPD1,ENSDARG00000043180,gpd1b
ENSDARG00000111509,DTWD1,ENSDARG00000111509,dtwd1
ENSDARG00000071691,UQCRC2,ENSDARG00000071691,uqcrc2b
ENSDARG00000034291,RPL37,ENSDARG00000034291,rpl37
ENSDARG00000044601,RTN4,ENSDARG00000044601,rtn4a
ENSDARG00000040245,IPO5,ENSDARG00000040245,kpnb3
ENSDARG00000011934,GYG1,ENSDARG00000011934,gyg1a
ENSDARG00000035809,COL1A1,ENSDARG00000035809,col1a1b
ENSDARG00000115457,POMZP3,ENSDARG00000115457,zp3.2
ENSDARG00000115457,ZP3,ENSDARG00000115457,zp3.2
ENSDARG00000057353,EHBP1L1,ENSDARG00000057353,ehbp1l1a
ENSDARG00000034270,OGDH,ENSDARG00000034270,ogdha
ENSDARG00000091061,SLC38A3,ENSDARG00000091061,slc38a3b
ENSDARG00000008785,DLD,ENSDARG00000008785,dldh
ENSDARG00000070922,CNBP,ENSDARG00000070922,cnbpb
ENSDARG00000070922,ZCCHC13,ENSDARG00000070922,cnbpb
ENSDARG00000039269,ARG2,ENSDARG00000039269,arg2
ENSDARG00000013968,PSAP,ENSDARG00000013968,psap
ENSDARG00000057026,RAN,ENSDARG00000057026,ran
ENSDARG00000015918,DLAT,ENSDARG00000015918,dlat
ENSDARG00000032619,TOB1,ENSDARG00000032619,tob1a
ENSDARG00000025850,RPS21,ENSDARG00000025850,rps21
ENSDARG00000111939,ATF4,ENSDARG00000111939,atf4a
ENSDARG00000006757,KLHL41,ENSDARG00000006757,klhl41b
ENSDARG00000005359,SUCLA2,ENSDARG00000005359,sucla2
ENSDARG00000013430,BHMT2,ENSDARG00000013430,bhmt
ENSDARG00000013430,BHMT,ENSDARG00000013430,bhmt
ENSDARG00000052712,SUCLG1,ENSDARG00000052712,suclg1
ENSDARG00000035256,EEF2,ENSDARG00000035256,eef2l2
ENSDARG00000059128,UQCRH,ENSDARG00000059128,uqcrh
ENSDARG00000059128,UQCRHL,ENSDARG00000059128,uqcrh
ENSDARG00000010113,NDUFB8,ENSDARG00000010113,ndufb8
ENSDARG00000038524,PIK3R1,ENSDARG00000038524,pik3r1
ENSDARG00000040439,RSL24D1,ENSDARG00000040439,rsl24d1
ENSDARG00000037539,TNNC1,ENSDARG00000037539,tnnc1b
ENSDARG00000112959,SRL,ENSDARG00000112959,CABZ01072309.1
ENSDARG00000075737,PZP,ENSDARG00000075737,zgc_165518
ENSDARG00000075737,A2ML1,ENSDARG00000075737,zgc_165518
ENSDARG00000020007,COL1A2,ENSDARG00000020007,col1a2
ENSDARG00000115817,PZP,ENSDARG00000115817,si_dkey-46g23.2
ENSDARG00000115817,A2ML1,ENSDARG00000115817,si_dkey-46g23.2
ENSDARG00000075132,FH,ENSDARG00000075132,fh
ENSDARG00000042620,GSTO2,ENSDARG00000042620,gstr
ENSDARG00000042620,GSTT2,ENSDARG00000042620,gstr
ENSDARG00000042620,GSTT2B,ENSDARG00000042620,gstr
ENSDARG00000042620,GSTT4,ENSDARG00000042620,gstr
ENSDARG00000075768,SDHB,ENSDARG00000075768,sdhb
ENSDARG00000053485,ALDH6A1,ENSDARG00000053485,aldh6a1
ENSDARG00000092170,APOC1,ENSDARG00000092170,apoc1
ENSDARG00000102055,HADHB,ENSDARG00000102055,hadhb
ENSDARG00000116005,PZP,ENSDARG00000116005,zgc_171446
ENSDARG00000116005,A2ML1,ENSDARG00000116005,zgc_171446
ENSDARG00000056141,COQ10B,ENSDARG00000056141,coq10b
ENSDARG00000077533,EIF3F,ENSDARG00000077533,eif3f
ENSDARG00000039929,CKMT2,ENSDARG00000039929,ckmt2b
ENSDARG00000007526,NDUFS2,ENSDARG00000007526,ndufs2
ENSDARG00000102362,SLC25A12,ENSDARG00000102362,slc25a12
ENSDARG00000103849,MDH1,ENSDARG00000103849,mdh1ab
ENSDARG00000021811,CALM3,ENSDARG00000021811,calm1a
ENSDARG00000021811,CALML3,ENSDARG00000021811,calm1a
ENSDARG00000016875,GYS1,ENSDARG00000016875,gys1
ENSDARG00000045490,NDUFB2,ENSDARG00000045490,ndufb2
ENSDARG00000056209,MYOZ1,ENSDARG00000056209,myoz1a
ENSDARG00000033789,NDUFB7,ENSDARG00000033789,ndufb7
ENSDARG00000103826,GPI,ENSDARG00000103826,gpib
ENSDARG00000014313,ATP5PF,ENSDARG00000014313,atp5pf
ENSDARG00000101074,GLUD1,ENSDARG00000101074,glud1b
ENSDARG00000101074,GLUD2,ENSDARG00000101074,glud1b
ENSDARG00000032630,NEB,ENSDARG00000032630,neb
ENSDARG00000020107,USP2,ENSDARG00000020107,usp2a
ENSDARG00000014106,CFL2,ENSDARG00000014106,cfl2
ENSDARG00000045886,SLC38A2,ENSDARG00000045886,slc38a2
ENSDARG00000070723,NDUFA9,ENSDARG00000070723,ndufa9a
ENSDARG00000003570,HSP90B1,ENSDARG00000003570,hsp90b1
ENSDARG00000019353,SPARC,ENSDARG00000019353,sparc
ENSDARG00000105346,C16orf96,ENSDARG00000105346,zp2.2
ENSDARG00000015385,NDUFS3,ENSDARG00000015385,ndufs3
ENSDARG00000056138,SF3B1,ENSDARG00000056138,sf3b1
ENSDARG00000041065,HSPB1,ENSDARG00000041065,hspb1
ENSDARG00000011122,PPTC7,ENSDARG00000011122,pptc7a
ENSDARG00000071026,MLLT11,ENSDARG00000071026,mllt11
ENSDARG00000023290,FABP3,ENSDARG00000023290,fabp3
ENSDARG00000014230,DLST,ENSDARG00000014230,dlst
ENSDARG00000052856,KHDRBS1,ENSDARG00000052856,khdrbs1a
ENSDARG00000100252,CAPZB,ENSDARG00000100252,capzb
ENSDARG00000012199,GPT2,ENSDARG00000012199,gpt2
ENSDARG00000021140,PABPC1L2B,ENSDARG00000021140,pabpc1b
ENSDARG00000021140,PABPC1L2A,ENSDARG00000021140,pabpc1b
ENSDARG00000002204,HSPB9,ENSDARG00000002204,hspb11
ENSDARG00000055618,ACTA1,ENSDARG00000055618,acta1b
ENSDARG00000036080,CD81,ENSDARG00000036080,cd81a
ENSDARG00000010572,SLC25A25,ENSDARG00000010572,slc25a25a
ENSDARG00000055642,GPT,ENSDARG00000055642,si_ch211-217a12.1
ENSDARG00000102012,PPP1CB,ENSDARG00000102012,ppp1cbl
ENSDARG00000013475,CCT4,ENSDARG00000013475,cct4
ENSDARG00000041232,RPS29,ENSDARG00000041232,rps29
ENSDARG00000114958,POMZP3,ENSDARG00000114958,zp3
ENSDARG00000114958,ZP3,ENSDARG00000114958,zp3
ENSDARG00000013333,NDUFA10,ENSDARG00000013333,ndufa10
ENSDARG00000020573,DDX3Y,ENSDARG00000020573,ddx3xa
ENSDARG00000020573,DDX3X,ENSDARG00000020573,ddx3xa
ENSDARG00000005774,DDX3Y,ENSDARG00000005774,ddx3xb
ENSDARG00000005774,DDX3X,ENSDARG00000005774,ddx3xb
ENSDARG00000036186,MBP,ENSDARG00000036186,mbpa
ENSDARG00000055120,CTSB,ENSDARG00000055120,ctsba
ENSDARG00000009341,NRAP,ENSDARG00000009341,nrap
ENSDARG00000103791,NME1,ENSDARG00000103791,nme2b.1
ENSDARG00000051986,NDUFS8,ENSDARG00000051986,ndufs8a
ENSDARG00000077717,RPL29,ENSDARG00000077717,rpl29
ENSDARG00000098883,STAC3,ENSDARG00000098883,stac3
ENSDARG00000044521,EEF1B2,ENSDARG00000044521,eef1b2
ENSDARG00000101631,ETFA,ENSDARG00000101631,etfa
ENSDARG00000018961,GTPBP4,ENSDARG00000018961,gtpbp4
ENSDARG00000007682,PPDPF,ENSDARG00000007682,ppdpfa
ENSDARG00000007682,PPDPFL,ENSDARG00000007682,ppdpfa
ENSDARG00000006413,RPL38,ENSDARG00000006413,rpl38
ENSDARG00000037071,RPS26,ENSDARG00000037071,rps26
ENSDARG00000013144,ATP1B1,ENSDARG00000013144,atp1b1a
ENSDARG00000029764,MEF2C,ENSDARG00000029764,mef2ca
ENSDARG00000007708,NSA2,ENSDARG00000007708,nsa2
ENSDARG00000052073,BLCAP,ENSDARG00000052073,blcap
ENSDARG00000003151,SKP1,ENSDARG00000003151,skp1
ENSDARG00000103799,KARS1,ENSDARG00000103799,kars
ENSDARG00000008292,EIF2S3,ENSDARG00000008292,eif2s3
ENSDARG00000008292,EIF2S3B,ENSDARG00000008292,eif2s3
ENSDARG00000070000,TXNIP,ENSDARG00000070000,txnipb
ENSDARG00000022968,FXR1,ENSDARG00000022968,fxr1
ENSDARG00000104011,RPS17,ENSDARG00000104011,rps17
ENSDARG00000007098,ITM2B,ENSDARG00000007098,itm2ba
ENSDARG00000099865,HNRNPAB,ENSDARG00000099865,hnrnpabb
ENSDARG00000077157,SYNPO2,ENSDARG00000077157,synpo2b
ENSDARG00000039150,LGMN,ENSDARG00000039150,lgmn
ENSDARG00000025348,IGFBP5,ENSDARG00000025348,igfbp5b
ENSDARG00000005191,AHCY,ENSDARG00000005191,ahcy
ENSDARG00000059654,EIF3B,ENSDARG00000059654,eif3ba
ENSDARG00000102892,H1-8,ENSDARG00000102892,h1m
ENSDARG00000074858,STARD7,ENSDARG00000074858,stard7
ENSDARG00000021252,CCT6B,ENSDARG00000021252,cct6a
ENSDARG00000016443,EIF3C,ENSDARG00000016443,eif3c
ENSDARG00000016443,EIF3CL,ENSDARG00000016443,eif3c
ENSDARG00000079637,ALPK2,ENSDARG00000079637,alpk2
ENSDARG00000116806,PPP1R27,ENSDARG00000116806,CU693479.1
ENSDARG00000100352,AGL,ENSDARG00000100352,aglb
ENSDARG00000056510,GSTK1,ENSDARG00000056510,gstk1
ENSDARG00000103969,MYH6,ENSDARG00000103969,smyhc2
ENSDARG00000021789,MYOC,ENSDARG00000021789,myoc
ENSDARG00000076779,FAM13B,ENSDARG00000076779,fam13b
ENSDARG00000089372,CLK4,ENSDARG00000089372,clk4a
ENSDARG00000089372,CLK3,ENSDARG00000089372,clk4a
ENSDARG00000027249,BTG1,ENSDARG00000027249,btg1
ENSDARG00000038076,ROMO1,ENSDARG00000038076,romo1
ENSDARG00000041068,GOT2,ENSDARG00000041068,got2a
ENSDARG00000051923,CCNB1,ENSDARG00000051923,ccnb1
ENSDARG00000054213,HECTD1,ENSDARG00000054213,hectd1
ENSDARG00000089920,MLIP,ENSDARG00000089920,mlip
ENSDARG00000011065,CAMK2B,ENSDARG00000011065,camk2b1
ENSDARG00000008502,PNO1,ENSDARG00000008502,pno1
ENSDARG00000075709,NDUFB3,ENSDARG00000075709,ndufb3
ENSDARG00000079687,RNF10,ENSDARG00000079687,rnf10
ENSDARG00000063626,DDX21,ENSDARG00000063626,ddx21
ENSDARG00000035751,IPO7,ENSDARG00000035751,ipo7
ENSDARG00000028889,NDUFB10,ENSDARG00000028889,ndufb10
ENSDARG00000093448,MPC1,ENSDARG00000093448,mpc1
ENSDARG00000018491,PDIA4,ENSDARG00000018491,pdia4
ENSDARG00000021124,CFL1,ENSDARG00000021124,cfl1
ENSDARG00000013044,NDUFV2,ENSDARG00000013044,ndufv2
ENSDARG00000011170,NDRG2,ENSDARG00000011170,ndrg2
ENSDARG00000008732,GOLIM4,ENSDARG00000008732,zgc_66479
ENSDARG00000017445,EIF3I,ENSDARG00000017445,eif3i
ENSDARG00000009505,PRELID3B,ENSDARG00000009505,prelid3b
ENSDARG00000007385,CCT7,ENSDARG00000007385,cct7
ENSDARG00000061994,ACACB,ENSDARG00000061994,acacb
ENSDARG00000006290,NDUFS5,ENSDARG00000006290,ndufs5
ENSDARG00000035622,XBP1,ENSDARG00000035622,xbp1
ENSDARG00000036107,TXNIP,ENSDARG00000036107,txnipa
ENSDARG00000008772,CACNG1,ENSDARG00000008772,cacng1a
ENSDARG00000077388,OBSL1,ENSDARG00000077388,obsl1b
ENSDARG00000028067,BNIP3L,ENSDARG00000028067,bnip3lb
ENSDARG00000036298,RPS13,ENSDARG00000036298,rps13
ENSDARG00000098739,H2AC20,ENSDARG00000098739,h2af1al
ENSDARG00000098739,H2AC21,ENSDARG00000098739,h2af1al
ENSDARG00000098739,H2AJ,ENSDARG00000098739,h2af1al
ENSDARG00000020749,CAPRIN2,ENSDARG00000020749,caprin2
ENSDARG00000102874,IMMT,ENSDARG00000102874,immt
ENSDARG00000003681,EIF5,ENSDARG00000003681,eif5
ENSDARG00000020594,TXLNB,ENSDARG00000020594,txlnba
ENSDARG00000008447,FKBP4,ENSDARG00000008447,fkbp4
ENSDARG00000030157,MYBPC2,ENSDARG00000030157,mybpc2a
ENSDARG00000043257,CKB,ENSDARG00000043257,ckbb
ENSDARG00000021257,EIF3D,ENSDARG00000021257,eif3d
ENSDARG00000014914,LAMP2,ENSDARG00000014914,lamp2
ENSDARG00000016391,CALCOCO1,ENSDARG00000016391,calcoco1b
ENSDARG00000099572,HMGN4,ENSDARG00000099572,hmgn2
ENSDARG00000099572,HMGN2,ENSDARG00000099572,hmgn2
ENSDARG00000001882,KBTBD12,ENSDARG00000001882,kbtbd12
ENSDARG00000009250,ETFB,ENSDARG00000009250,etfb
ENSDARG00000054578,ARL6IP1,ENSDARG00000054578,arl6ip1
